Series_Title,Released_Year,Certificate,Runtime,Runtime2,Genre,IMDB_Rating,No_of_Votes,Gross
Oldeuboi,2003,A,101 min,101,Action,8.4,515451,707481
Serbuan maut,2011,A,101 min,101,Action,7.6,190531,4105123
Enter the Dragon,1973,A,102 min,102,Action,7.7,96561,25000000
Dirty Harry,1971,A,102 min,102,Action,7.7,143292,35900000
The French Connection,1971,A,104 min,104,Action,7.7,110075,15630710
"Lock, Stock and Two Smoking Barrels",1998,A,107 min,107,Action,8.2,535216,3897569
Predator,1987,A,107 min,107,Action,7.8,371387,59735548
The Bourne Supremacy,2004,A,108 min,108,Action,7.7,434841,176241941
End of Watch,2012,A,109 min,109,Action,7.6,228132,41003371
Lethal Weapon,1987,A,109 min,109,Action,7.6,236894,65207127
Léon,1994,A,110 min,110,Action,8.5,1035236,19501238
Yôjinbô,1961,A,110 min,110,Action,8.2,111244,12100200
Gongdong gyeongbi guyeok JSA,2000,A,110 min,110,Action,7.8,26518,181855
Goldfinger,1964,A,110 min,110,Action,7.7,174119,51081062
Bonnie and Clyde,1967,A,111 min,111,Action,7.8,102415,17550941
District 9,2009,A,112 min,112,Action,7.9,638202,115646235
Escape from Alcatraz,1979,A,112 min,112,Action,7.6,121731,43000000
The Gentlemen,2019,A,113 min,113,Action,7.8,237392,2537920
White Heat,1949,A,114 min,114,Action,8.1,29807,44908400
Raiders of the Lost Ark,1981,A,115 min,115,Action,8.4,884112,248159971
300,2006,A,117 min,117,Action,7.6,732876,210614939
Sicario,2015,A,121 min,121,Action,7.6,371291,46889293
3:10 to Yuma,2007,A,122 min,122,Action,7.7,288797,53606916
Dawn of the Dead,1978,A,127 min,127,Action,7.9,111512,5100000
Nefes: Vatan Sagolsun,2009,A,128 min,128,Action,8,31838,107062
Die Hard: With a Vengeance,1995,A,128 min,128,Action,7.6,364420,100012499
Kingsman: The Secret Service,2014,A,129 min,129,Action,7.7,590440,128261724
V for Vendetta,2005,A,132 min,132,Action,8.2,1032749,70511035
Die Hard,1988,A,132 min,132,Action,8.2,793164,83008852
Seppuku,1962,A,133 min,133,Action,8.6,42004,130743122
The Matrix,1999,A,136 min,136,Action,8.7,1676426,171479930
Logan,2017,A,137 min,137,Action,8.1,647884,226277068
Kill Bill: Vol. 2,2004,A,137 min,137,Action,8,683900,66208183
Apocalypto,2006,A,139 min,139,Action,7.8,291018,50866635
Ang-ma-reul bo-at-da,2010,A,144 min,144,Action,7.8,111252,128392
The Wild Bunch,1969,A,145 min,145,Action,7.9,77401,12064472
Minority Report,2002,A,145 min,145,Action,7.6,508417,132072926
Udta Punjab,2016,A,148 min,148,Action,7.8,27175,169607487
Serbuan maut 2: Berandal,2014,A,150 min,150,Action,8,114316,2625803
The Revenant,2015,A,156 min,156,Action,8,705589,183637894
Watchmen,2009,A,162 min,162,Action,7.6,500799,107509799
Gangs of Wasseypur,2012,A,321 min,321,Action,8.2,82365,144701
Evil Dead II,1987,A,84 min,84,Action,7.8,148359,5923044
Knockin' on Heaven's Door,1997,A,87 min,87,Action,8,27721,3296
Taken,2008,A,90 min,90,Action,7.8,564791,145000989
First Blood,1982,A,93 min,93,Action,7.7,226541,47212904
"Aguirre, der Zorn Gottes",1972,A,95 min,95,Action,7.9,52397,70600400
Mad Max 2,1981,A,96 min,96,Action,7.6,166588,12465371
Per un pugno di dollari,1964,A,99 min,99,Action,8,198219,14500000
Red River,1948,Passed,133 min,133,Action,7.8,28167,2616200
Rio Bravo,1959,Passed,141 min,141,Action,8,56305,12535000
Sherlock Jr.,1924,Passed,45 min,45,Action,8.2,41985,977375
The General,1926,Passed,67 min,67,Action,8.1,81156,1033895
Huo Yuan Jia,2006,PG-13,104 min,104,Action,7.6,72863,24633730
Serenity,2005,PG-13,119 min,119,Action,7.8,283310,25514517
Ying xiong,2002,PG-13,120 min,120,Action,7.9,173999,53710019
Sherlock Holmes,2009,PG-13,128 min,128,Action,7.6,583158,209028679
The Count of Monte Cristo,2002,PG-13,131 min,131,Action,7.8,129022,54234062
Casino Royale,2006,PG-13,144 min,144,Action,8,582239,167445960
Eastern Promises,2007,R,100 min,100,Action,7.6,227760,17114882
Hell or High Water,2016,R,102 min,102,Action,7.6,204175,26862450
Yip Man,2008,R,106 min,106,Action,8,211427,106862
Deadpool,2016,R,108 min,108,Action,8,902669,363070709
The Boondock Saints,1999,R,108 min,108,Action,7.8,227143,25812
Lucky Number Slevin,2006,R,110 min,110,Action,7.7,299524,22494487
Kill Bill: Vol. 1,2003,R,111 min,111,Action,8.1,1000639,70099045
Dip huet seung hung,1989,R,111 min,111,Action,7.8,45624,61277272
Falling Down,1993,R,113 min,113,Action,7.6,171640,40903593
Tropa de Elite,2007,R,115 min,115,Action,8,98097,8060
Ajeossi,2010,R,119 min,119,Action,7.8,62848,6460
Deadpool 2,2018,R,119 min,119,Action,7.7,478586,324591735
Lord of War,2005,R,122 min,122,Action,7.6,294140,24149632
Lat sau san taam,1992,R,128 min,128,Action,7.8,46700,17267171
Tombstone,1993,R,130 min,130,Action,7.8,126871,56505065
Taegukgi hwinalrimyeo,2004,R,140 min,140,Action,8.1,37820,1111061
The Taking of Pelham One Two Three,1974,U,104 min,104,Action,7.7,26729,1924933
Star Trek II: The Wrath of Khan,1982,U,113 min,113,Action,7.7,112704,78912963
Indiana Jones and the Last Crusade,1989,U,127 min,127,Action,8.2,692366,197171806
The Fugitive,1993,U,130 min,130,Action,7.8,267684,183875760
Star Wars: Episode VI - Return of the Jedi,1983,U,131 min,131,Action,8.3,950470,309125409
The Blues Brothers,1980,U,133 min,133,Action,7.9,183182,57229890
Terminator 2: Judgment Day,1991,U,137 min,137,Action,8.5,995506,204843350
Aliens,1986,U,137 min,137,Action,8.3,652719,85160248
Star Wars: Episode VII - The Force Awakens,2015,U,138 min,138,Action,7.9,860823,936662225
Empire of the Sun,1987,U,153 min,153,Action,7.7,115677,22238696
Hera Pheri,2000,U,156 min,156,Action,8.2,57057,4711296
Where Eagles Dare,1968,U,158 min,158,Action,7.7,51913,15630910
Andaz Apna Apna,1994,U,160 min,160,Action,8.2,49300,67437018
Dangal,2016,U,161 min,161,Action,8.4,156479,12391761
Ran,1985,U,162 min,162,Action,8.2,112505,4135750
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,178,Action,8.8,1661481,315544750
The Lord of the Rings: The Return of the King,2003,U,201 min,201,Action,8.9,1642758,377845905
Sholay,1975,U,204 min,204,Action,8.2,51284,23384387
Shichinin no samurai,1954,U,207 min,207,Action,8.6,315744,269061
Sanjuro,1962,U,96 min,96,Action,8.1,33044,102421
Key Largo,1948,UA,100 min,100,Action,7.8,36995,336905
Mou gaan dou,2002,UA,101 min,101,Action,8,117857,169659
A Wednesday,2008,UA,104 min,104,Action,8.1,73891,61002502
Ghostbusters,1984,UA,105 min,105,Action,7.8,355413,238632124
Dunkirk,2017,UA,106 min,106,Action,7.8,555092,188373161
The Terminator,1984,UA,107 min,107,Action,8,799795,38400000
The Last of the Mohicans,1992,UA,112 min,112,Action,7.7,150409,75505856
Edge of Tomorrow,2014,UA,113 min,113,Action,7.9,600004,100206256
Baby Driver,2017,UA,113 min,113,Action,7.6,439406,107825862
Celda 211,2009,UA,113 min,113,Action,7.6,63882,35014392
Batoru rowaiaru,2000,UA,114 min,114,Action,7.6,169091,57938893
Tropa de Elite 2: O Inimigo Agora é Outro,2010,UA,115 min,115,Action,8,79200,100119
The Bourne Ultimatum,2007,UA,115 min,115,Action,8,604694,227471070
Blade Runner,1982,UA,117 min,117,Action,8.1,693827,32868943
Kick-Ass,2010,UA,117 min,117,Action,7.6,524081,48071303
The Bourne Identity,2002,UA,119 min,119,Action,7.9,508771,121661683
Mad Max: Fury Road,2015,UA,120 min,120,Action,8.1,882316,154058340
Wo hu cang long,2000,UA,120 min,120,Action,7.8,253228,128078872
Star Wars,1977,UA,121 min,121,Action,8.6,1231473,322740140
Guardians of the Galaxy,2014,UA,121 min,121,Action,8,1043455,333176600
Hot Fuzz,2007,UA,121 min,121,Action,7.8,463466,23637265
Rush,2013,UA,123 min,123,Action,8.1,432811,26947624
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,124,Action,8.7,1159315,290475067
Chugyeokja,2008,UA,125 min,125,Action,7.8,58468,161197985
Iron Man,2008,UA,126 min,126,Action,7.9,939644,318412101
The Fifth Element,1997,UA,126 min,126,Action,7.7,434125,63540020
Jurassic Park,1993,UA,127 min,127,Action,8.1,867615,402453882
Star Trek,2009,UA,127 min,127,Action,7.9,577336,257730019
The Game,1997,UA,129 min,129,Action,7.8,345096,48323648
Thor: Ragnarok,2017,UA,130 min,130,Action,7.9,587775,315058289
Dawn of the Planet of the Apes,2014,UA,130 min,130,Action,7.6,411599,208545589
X: First Class,2011,UA,131 min,131,Action,7.7,645512,146408305
X-Men: Days of Future Past,2014,UA,132 min,132,Action,7.9,659763,233921534
Star Trek Into Darkness,2013,UA,132 min,132,Action,7.7,463188,228778661
Rogue One,2016,UA,133 min,133,Action,7.8,556608,532177324
Only the Brave,2017,UA,134 min,134,Action,7.6,58371,18340051
Paan Singh Tomar,2012,UA,135 min,135,Action,8.2,33237,39567
Captain America: The Winter Soldier,2014,UA,136 min,136,Action,7.7,736182,259766572
Guardians of the Galaxy Vol. 2,2017,UA,136 min,136,Action,7.6,569974,389813101
Uri: The Surgical Strike,2018,UA,138 min,138,Action,8.2,43444,4186168
Raazi,2018,UA,138 min,138,Action,7.8,25344,10000400
Warrior,2011,UA,140 min,140,Action,8.2,435950,13657115
Batman Begins,2005,UA,140 min,140,Action,8.2,1308302,206852432
Letters from Iwo Jima,2006,UA,141 min,141,Action,7.9,154011,13756082
The Avengers,2012,UA,143 min,143,Action,8,1260806,623279547
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143 min,143,Action,8,1015122,305413918
Skyfall,2012,UA,143 min,143,Action,7.7,630614,304360277
Man on Fire,2004,UA,146 min,146,Action,7.7,329592,77911774
Vikram Vedha,2017,UA,147 min,147,Action,8.4,28401,1661296
Captain America: Civil War,2016,UA,147 min,147,Action,7.8,663649,408084349
Mission: Impossible - Fallout,2018,UA,147 min,147,Action,7.7,291257,220159104
Inception,2010,UA,148 min,148,Action,8.8,2067042,292576195
Avengers: Infinity War,2018,UA,149 min,149,Action,8.4,834477,678815482
The Dirty Dozen,1967,UA,150 min,150,Action,7.7,67183,45300000
The Dark Knight,2008,UA,152 min,152,Action,9,2303232,534858444
Ford v Ferrari,2019,UA,152 min,152,Action,8.1,291289,117624028
Harry Potter and the Half-Blood Prince,2009,UA,153 min,153,Action,7.6,474827,301959197
The Last Samurai,2003,UA,154 min,154,Action,7.7,400049,111110575
Gladiator,2000,UA,155 min,155,Action,8.5,1341460,187705427
K.G.F: Chapter 1,2018,UA,156 min,156,Action,8.2,36680,898775
Baby,2015,UA,159 min,159,Action,8,52848,1034495
Bãhubali: The Beginning,2015,UA,159 min,159,Action,8,102972,6738000
Haider,2014,UA,160 min,160,Action,8.1,50445,901610
Avatar,2009,UA,162 min,162,Action,7.8,1118998,760507625
Bajrangi Bhaijaan,2015,UA,163 min,163,Action,8,72245,8178001
The Dark Knight Rises,2012,UA,164 min,164,Action,8.4,1516346,448139099
Blade Runner 2049,2017,UA,164 min,164,Action,8,461823,92054159
Baahubali 2: The Conclusion,2017,UA,167 min,167,Action,8.2,75348,20186659
The Lord of the Rings: The Two Towers,2002,UA,179 min,179,Action,8.7,1485555,342551365
Avengers: Endgame,2019,UA,181 min,181,Action,8.4,809955,858373000
The Warriors,1979,UA,92 min,92,Action,7.6,93878,22490039
Kung fu,2004,UA,99 min,99,Action,7.7,127250,17108591
Children of Men,2006,A,109 min,109,Adventure,7.9,465113,35552383
Almost Famous,2000,A,122 min,122,Adventure,7.9,252586,32534850
Jaws,1975,A,124 min,124,Adventure,8,543388,260000000
Kakushi-toride no san-akunin,1958,A,139 min,139,Adventure,8.1,34797,1526400
Blood Diamond,2006,A,143 min,143,Adventure,8,499439,57366262
Harry Potter and the Deathly Hallows: Part 1,2010,A,146 min,146,Adventure,7.7,479120,295983305
Inglourious Basterds,2009,A,153 min,153,Adventure,8.3,1267869,120540719
Spartacus,1960,A,197 min,197,Adventure,7.9,124339,30000000
Zombieland,2009,A,88 min,88,Adventure,7.6,520041,75590286
King Kong,1933,Passed,100 min,100,Adventure,7.9,78991,10000000
The Searchers,1956,Passed,119 min,119,Adventure,7.9,80316,88500
The Treasure of the Sierra Madre,1948,Passed,126 min,126,Adventure,8.2,114304,5014000
The Gold Rush,1925,Passed,95 min,95,Adventure,8.2,101053,5450000
Stagecoach,1939,Passed,96 min,96,Adventure,7.8,43621,2616600
The Peanut Butter Falcon,2019,PG-13,97 min,97,Adventure,7.6,66346,13122642
La montaña sagrada,1973,R,114 min,114,Adventure,7.9,37183,61001
Interstate 60: Episodes of the Road,2002,R,116 min,116,Adventure,7.7,29999,151286
The Fall,2006,R,117 min,117,Adventure,7.9,107290,2280348
Fear and Loathing in Las Vegas,1998,R,118 min,118,Adventure,7.6,259753,10680275
Dead Man,1995,R,121 min,121,Adventure,7.6,90442,1037847
Into the Wild,2007,R,148 min,148,Adventure,8.1,572921,18354356
Das Boot,1981,R,149 min,149,Adventure,8.3,231855,11487676
Fitzcarraldo,1982,R,158 min,158,Adventure,8.1,31595,13783038
The Wizard of Oz,1939,U,102 min,102,Adventure,8,371379,2076020
Paddington 2,2017,U,103 min,103,Adventure,7.8,61594,40442052
"O Brother, Where Art Thou?",2000,U,107 min,107,Adventure,7.7,286742,45512588
Back to the Future Part II,1989,U,108 min,108,Adventure,7.8,481918,118500000
Deliverance,1972,U,109 min,109,Adventure,7.7,98740,7056013
Planet of the Apes,1968,U,112 min,112,Adventure,8,165167,33395426
Togo,2019,U,113 min,113,Adventure,8,37556,539940
The Goonies,1985,U,114 min,114,Adventure,7.8,244430,61503218
Back to the Future,1985,U,116 min,116,Adventure,8.5,1058081,210609762
Big Fish,2003,U,125 min,125,Adventure,8,415218,66257002
Diarios de motocicleta,2004,U,126 min,126,Adventure,7.8,96703,16756372
Life of Pi,2012,U,127 min,127,Adventure,7.9,580708,124987023
Stardust,2007,U,127 min,127,Adventure,7.6,255036,38634938
Le salaire de la peur,1953,U,131 min,131,Adventure,8.1,54588,44908200
North by Northwest,1959,U,136 min,136,Adventure,8.3,299198,13275000
Apollo 13,PG,U,140 min,140,Adventure,7.6,269197,173837933
Harry Potter and the Prisoner of Azkaban,2004,U,142 min,142,Adventure,7.9,552493,249358727
2001: A Space Odyssey,1968,U,149 min,149,Adventure,8.3,603517,56954992
Harry Potter and the Sorcerer's Stone,2001,U,152 min,152,Adventure,7.6,658185,317575550
The Great Escape,1963,U,172 min,172,Adventure,8.2,224730,12100000
Dances with Wolves,1990,U,181 min,181,Adventure,8,240266,184208848
Ben-Hur,1959,U,212 min,212,Adventure,8.1,219466,74700000
The Ten Commandments,1956,U,220 min,220,Adventure,7.9,63560,93740000
Lagaan: Once Upon a Time in India,2001,U,224 min,224,Adventure,8.1,105036,70147
Lawrence of Arabia,1962,U,228 min,228,Adventure,8.3,268085,44824144
Stand by Me,1986,U,89 min,89,Adventure,8.1,363401,52287414
The Muppet Movie,1979,U,95 min,95,Adventure,7.6,32802,76657000
The Princess Bride,1987,U,98 min,98,Adventure,8,393899,30857814
Hunt for the Wilderpeople,2016,UA,101 min,101,Adventure,7.9,111483,5202582
Nebraska,2013,UA,115 min,115,Adventure,7.7,112298,17654912
G.O.R.A.,2004,UA,127 min,127,Adventure,8,56960,74104020
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,130,Adventure,8.1,764493,381011219
Captain Phillips,2013,UA,134 min,134,Adventure,7.8,421244,107100855
Cast Away,2000,UA,143 min,143,Adventure,7.8,524235,233632142
The Martian,2015,UA,144 min,144,Adventure,8,760094,228433663
Queen,2013,UA,146 min,146,Adventure,8.2,60701,1429534
Harry Potter and the Goblet of Fire,2005,UA,157 min,157,Adventure,7.7,548619,290013036
The Hobbit: The Desolation of Smaug,2013,UA,161 min,161,Adventure,7.8,601408,258366855
Interstellar,2014,UA,169 min,169,Adventure,8.6,1512360,188020017
The Hobbit: An Unexpected Journey,2012,UA,169 min,169,Adventure,7.8,757377,303003568
The Grand Budapest Hotel,2014,UA,99 min,99,Adventure,8.1,707630,59100318
Koe no katachi,2016,A,130 min,130,Animation,8.1,47708,3760054
Pâfekuto burû,1997,A,81 min,81,Animation,8,58192,776665
"South Park: Bigger, Longer & Uncut",1999,A,81 min,81,Animation,7.7,192112,52037603
Mary and Max,2009,A,92 min,92,Animation,8.1,164462,1498410
Jûbê ninpûchô,1993,A,94 min,94,Animation,7.9,34529,12281700
Kaze tachinu,2013,PG-13,126 min,126,Animation,7.8,73690,5209580
Les triplettes de Belleville,2003,PG-13,80 min,80,Animation,7.8,50622,7002255
Persepolis,2007,PG-13,96 min,96,Animation,8,88656,4445756
Waking Life,2001,R,99 min,99,Animation,7.8,60684,2892011
Soul,2020,U,100 min,100,Animation,8.1,159171,14677874
Finding Nemo,2003,U,100 min,100,Animation,8.1,949565,380843261
Toy Story 4,2019,U,100 min,100,Animation,7.8,203177,434038008
The Lego Movie,2014,U,100 min,100,Animation,7.7,323982,257760692
Tangled,2010,U,100 min,100,Animation,7.7,405922,200821936
Coraline,2009,U,100 min,100,Animation,7.7,197761,75286229
Rupan sansei: Kariosutoro no shiro,1979,U,100 min,100,Animation,7.7,27014,54800200
Isle of Dogs,2018,U,101 min,101,Animation,7.9,139114,32015231
Wreck-It Ralph,2012,U,101 min,101,Animation,7.7,380195,189422889
Gake no ue no Ponyo,2008,U,101 min,101,Animation,7.7,125317,15090400
Big Hero 6,2014,U,102 min,102,Animation,7.8,410983,222527828
How to Train Your Dragon 2,2014,U,102 min,102,Animation,7.8,305611,177002924
Toy Story 3,2010,U,103 min,103,Animation,8.2,757032,415004880
Majo no takkyûbin,1989,U,103 min,103,Animation,7.8,124193,61277072
Omoide no Mânî,2014,U,103 min,103,Animation,7.7,32798,765127
Vampire Hunter D: Bloodlust,2000,U,103 min,103,Animation,7.7,29210,151086
Who Framed Roger Rabbit,1988,U,104 min,104,Animation,7.7,182009,156452370
Coco,2017,U,105 min,105,Animation,8.4,384171,209726015
Kimi no na wa.,2016,U,106 min,106,Animation,8.4,194838,5017246
Moana,2016,U,107 min,107,Animation,7.6,272784,248757044
Zootopia,2016,U,108 min,108,Animation,8,434143,341268248
Ratatouille,2007,U,111 min,111,Animation,8,641645,206445654
Mimi wo sumaseba,1995,U,111 min,111,Animation,7.9,51943,245852379
The Incredibles,2004,U,115 min,115,Animation,8,657047,261441092
Cowboy Bebop: Tengoku no tobira,2001,U,115 min,115,Animation,7.9,42897,1000045
Spider-Man: Into the Spider-Verse,2018,U,117 min,117,Animation,8.4,375110,190241310
Ôkami kodomo no Ame to Yuki,2012,U,117 min,117,Animation,8.1,38803,59100518
Kaze no tani no Naushika,1984,U,117 min,117,Animation,8.1,150924,495770
Omohide poro poro,1991,U,118 min,118,Animation,7.6,27071,453243
Hauru no ugoku shiro,2004,U,119 min,119,Animation,8.2,333915,4711096
Sen to Chihiro no kamikakushi,2001,U,125 min,125,Animation,8.6,651376,10055859
